1,1,1,2020-06-15,Light
2,2,2,2020-10-12,Severe
3,1,3,2020-06-27,Light
4,2,4,2020-03-08,Severe
5,1,5,2020-04-15,Light
6,1,6,2020-05-15,Moderate
7,1,7,2020-08-07,Light
8,1,8,2020-09-24,Moderate
9,2,9,2020-03-23,Severe
10,1,10,2020-06-29,Light
11,1,11,2020-06-23,Light
12,2,12,2020-02-11,Severe
13,3,13,2020-01-29,Severe
14,1,14,2020-02-20,Moderate
15,1,15,2020-12-19,Moderate
16,1,16,2020-06-28,Light
17,4,17,2020-01-14,Light
18,1,18,2020-03-03,Light
19,1,19,2020-05-21,Light
20,2,20,2020-09-15,Moderate
21,3,8,2020-02-08,Severe
22,2,21,2020-10-15,Severe
23,1,22,2020-10-29,Moderate
24,2,23,2020-10-09,Severe
25,2,24,2020-10-27,Severe
26,4,25,2020-12-15,Light
27,1,26,2020-10-23,Light
28,1,27,2020-12-20,Moderate
29,1,28,2020-10-29,Light
30,1,29,2020-07-05,Light
31,1,30,2020-09-21,Moderate
32,1,31,2020-04-09,Moderate
33,4,32,2020-11-22,Moderate
34,1,33,2020-03-22,Light
35,1,34,2020-04-26,Light
36,1,35,2020-04-07,Light
37,1,36,2020-10-30,Moderate
38,2,37,2020-01-04,Severe
39,1,38,2020-03-15,Light
40,1,39,2020-11-18,Light
41,1,15,2020-01-11,Light
42,4,40,2020-02-06,Light
43,2,41,2020-09-15,Severe
44,1,42,2020-11-11,Light
45,1,43,2020-02-11,Light
46,1,44,2020-08-29,Moderate
47,1,45,2020-08-28,Moderate
48,2,46,2020-10-22,Severe
49,4,47,2020-03-06,Light
50,1,48,2020-10-26,Light
51,1,49,2020-01-23,Light
52,1,50,2020-07-18,Light
53,4,51,2020-11-02,Light
54,2,52,2020-10-21,Severe
55,1,53,2020-05-04,Light
56,1,54,2020-03-20,Light
57,1,55,2020-04-12,Heavy
58,1,56,2020-11-12,Moderate
59,4,57,2020-02-11,Light
60,2,58,2020-03-06,Severe
61,2,59,2020-02-18,Moderate
62,1,60,2020-03-17,Light
63,1,61,2020-05-18,Light
64,1,62,2020-02-11,Light
65,2,63,2020-01-29,Severe
66,1,26,2020-02-24,Light
67,1,64,2020-02-20,Light
68,4,65,2020-01-01,Light
69,1,66,2020-03-19,Heavy
70,2,67,2020-04-20,Moderate
71,2,68,2020-02-03,Severe
72,4,69,2020-02-05,Light
73,4,70,2020-05-09,Light
74,1,71,2020-07-06,Light
75,1,72,2020-10-02,Light
76,2,73,2020-11-23,Severe
77,2,74,2020-06-13,Moderate
78,2,75,2020-06-21,Severe
79,1,76,2020-11-07,Moderate
80,1,10,2020-06-07,Light
81,2,77,2020-07-06,Moderate
82,1,78,2020-05-28,Light
83,4,79,2020-01-18,Moderate
84,2,80,2020-01-25,Moderate
